GyroX_degps,GyroY_degps,GyroZ_degps,AccX_g,AccY_g,AccZ_g,T_deg[0],SysTime_ms
0.197609,-0.094443,0.252847,-0.520718,0.760235,-0.406814,32.360840,23973.510000
0.343485,0.127340,0.004569,-0.515227,0.756394,-0.397538,32.360840,23973.515000
0.133111,0.301824,-0.298474,-0.511883,0.759765,-0.407139,32.360840,23973.520000
-0.240278,0.000446,-0.297894,-0.507064,0.764352,-0.385262,32.360840,23973.525000
-0.253848,-0.185163,-0.034990,-0.509496,0.776216,-0.389499,32.348633,23973.530000
-0.141581,-0.217735,0.233598,-0.515992,0.771161,-0.389856,32.348633,23973.535000
0.328986,-0.028568,0.176797,-0.520414,0.761804,-0.408068,32.348633,23973.540000
0.557805,0.248591,0.070671,-0.516977,0.755727,-0.397744,32.348633,23973.545000
0.255488,0.274313,-0.342457,-0.513995,0.759751,-0.407676,32.360840,23973.550000
-0.402626,-0.011131,-0.137809,-0.507254,0.763489,-0.385633,32.360840,23973.555000
-0.319178,-0.173733,-0.089061,-0.508614,0.774085,-0.389885,32.360840,23973.560000
-0.164763,-0.322291,0.139582,-0.514862,0.773383,-0.388079,32.348633,23973.565000
0.145026,-0.087071,0.298414,-0.520363,0.760248,-0.408235,32.318115,23973.570000
0.515929,0.312326,0.008293,-0.517123,0.757664,-0.399173,32.318115,23973.575000
0.062237,0.243686,-0.069123,-0.512106,0.755947,-0.405445,32.318115,23973.580000
-0.135498,0.070490,-0.210815,-0.507378,0.763373,-0.385764,32.318115,23973.585000
-0.350763,-0.241796,-0.057603,-0.511206,0.776945,-0.388321,32.318115,23973.590000
-0.234953,-0.285798,0.184761,-0.513939,0.769750,-0.393597,32.318115,23973.595000
0.389057,-0.051809,0.219110,-0.522864,0.762852,-0.405036,32.318115,23973.600000
0.255279,0.131421,0.084419,-0.517243,0.755482,-0.398565,32.336426,23973.605000
0.178074,0.348458,-0.250765,-0.513056,0.754179,-0.409695,32.348633,23973.610000
-0.099500,0.115472,-0.294834,-0.507106,0.766234,-0.380504,32.348633,23973.615000
-0.362938,-0.098645,-0.081355,-0.506430,0.772678,-0.395695,32.348633,23973.620000
-0.153741,-0.328391,0.172010,-0.513033,0.774869,-0.384622,32.330322,23973.625000
0.234954,-0.178390,0.171880,-0.519579,0.759968,-0.410209,32.330322,23973.630000
0.527898,0.283537,-0.006026,-0.515447,0.758246,-0.397546,32.330322,23973.635000
0.095435,0.151243,-0.115068,-0.512442,0.756607,-0.408746,32.330322,23973.640000
-0.056900,0.363584,-0.317454,-0.507144,0.763696,-0.383520,32.330322,23973.645000
-0.483500,-0.356932,-0.034199,-0.507075,0.770569,-0.390264,32.330322,23973.650000
-0.154183,-0.320563,0.312319,-0.512734,0.777054,-0.387582,32.330322,23973.655000
0.351987,-0.210352,0.358710,-0.521743,0.759788,-0.410219,32.330322,23973.660000
0.391718,0.162666,0.031941,-0.514959,0.756480,-0.398590,32.360840,23973.665000
0.231089,0.381671,-0.310960,-0.512640,0.756059,-0.405167,32.360840,23973.670000
-0.136182,0.048343,-0.318991,-0.507337,0.764064,-0.385756,32.360840,23973.675000
-0.305617,-0.115435,-0.065419,-0.505617,0.773248,-0.392053,32.360840,23973.680000
-0.131549,-0.302130,0.204640,-0.514719,0.775767,-0.387955,32.330322,23973.685000
0.217499,-0.150225,0.294251,-0.520699,0.758599,-0.407307,32.330322,23973.690000
0.517783,0.254636,-0.061787,-0.515666,0.757141,-0.400156,32.330322,23973.695000
0.066276,0.224521,-0.241464,-0.514209,0.758268,-0.403457,32.324219,23973.700000
-0.011741,0.148407,-0.336733,-0.508410,0.766324,-0.386152,32.312012,23973.705000
-0.311606,-0.153383,-0.147419,-0.506602,0.774026,-0.390577,32.312012,23973.710000
-0.286144,-0.362087,0.174893,-0.513563,0.775978,-0.385083,32.312012,23973.715000
0.094997,-0.044159,0.332339,-0.520985,0.760161,-0.407844,32.312012,23973.720000
0.420796,0.176972,0.041328,-0.518821,0.760770,-0.397299,32.312012,23973.725000
0.540392,0.358326,-0.306917,-0.511948,0.754477,-0.408413,32.312012,23973.730000
-0.296519,0.112587,-0.240778,-0.507275,0.761650,-0.386252,32.312012,23973.735000
-0.304652,-0.089473,-0.094686,-0.508121,0.774552,-0.392115,32.318115,23973.740000
-0.205732,-0.203525,0.144443,-0.514995,0.775442,-0.390118,32.324219,23973.745000
0.025762,-0.189927,0.237344,-0.520731,0.759370,-0.402631,32.324219,23973.750000
0.617786,0.118224,0.016557,-0.517884,0.760700,-0.400693,32.324219,23973.755000
0.024750,0.179683,-0.075705,-0.514377,0.752645,-0.408586,32.360840,23973.760000
-0.058267,0.230192,-0.364121,-0.507660,0.766232,-0.382955,32.360840,23973.765000
-0.348149,-0.147822,-0.089731,-0.506455,0.772870,-0.391056,32.360840,23973.770000
-0.258189,-0.338807,0.307087,-0.513968,0.776337,-0.385085,32.360840,23973.775000
0.113361,-0.297384,0.341700,-0.520382,0.762299,-0.407948,32.330322,23973.780000
0.432632,0.133609,0.032854,-0.517912,0.761021,-0.397723,32.330322,23973.785000
0.177688,0.251774,-0.200990,-0.514191,0.749893,-0.405416,32.330322,23973.790000
0.020825,0.114184,-0.371058,-0.507589,0.769566,-0.383606,32.330322,23973.795000
-0.431761,-0.110172,-0.220314,-0.504384,0.769155,-0.393088,32.348633,23973.800000
-0.016420,-0.218942,0.186699,-0.514933,0.776790,-0.387752,32.348633,23973.805000
0.045511,-0.277893,0.392781,-0.518721,0.760128,-0.406607,32.348633,23973.810000
0.523862,0.274675,0.034808,-0.517824,0.759507,-0.401055,32.348633,23973.815000
0.255802,0.199531,-0.079318,-0.514187,0.751038,-0.404071,32.342529,23973.820000
0.086438,0.243289,-0.375537,-0.507922,0.769532,-0.388574,32.342529,23973.825000
-0.400585,-0.127580,-0.187425,-0.505683,0.772061,-0.392506,32.342529,23973.830000
-0.295463,-0.373666,0.192232,-0.512417,0.774136,-0.386274,32.342529,23973.835000
0.307650,-0.029546,0.240641,-0.521098,0.762125,-0.405240,32.318115,23973.840000
0.460400,0.040057,0.106638,-0.518527,0.761232,-0.401318,32.318115,23973.845000
0.318359,0.226700,-0.159822,-0.513632,0.752079,-0.407274,32.318115,23973.850000
0.005762,0.291860,-0.386156,-0.509294,0.766519,-0.385032,32.324219,23973.855000
-0.634975,-0.174137,-0.148815,-0.506886,0.767288,-0.392132,32.342529,23973.860000
-0.126155,-0.278648,0.207677,-0.514916,0.777771,-0.385230,32.342529,23973.865000
0.126974,-0.402368,0.397633,-0.519031,0.756804,-0.408245,32.342529,23973.870000
0.519770,0.175650,-0.003228,-0.518297,0.761801,-0.398951,32.336426,23973.875000
0.238247,0.205751,-0.187920,-0.514344,0.752930,-0.404929,32.330322,23973.880000
0.041333,0.280061,-0.300550,-0.507222,0.765923,-0.387872,32.330322,23973.885000
-0.281413,-0.141584,-0.091167,-0.506757,0.770366,-0.389810,32.330322,23973.890000
-0.229057,-0.313812,0.053360,-0.513829,0.774823,-0.385534,32.336426,23973.895000
0.199811,-0.132908,0.302611,-0.521002,0.760604,-0.405359,32.336426,23973.900000
0.516156,0.203841,0.142859,-0.518864,0.760935,-0.398924,32.336426,23973.905000
0.304095,0.317357,-0.198192,-0.513815,0.752859,-0.408373,32.336426,23973.910000
-0.031520,0.203183,-0.252419,-0.509175,0.766230,-0.384744,32.330322,23973.915000
-0.531699,-0.185020,-0.114308,-0.506342,0.764664,-0.392042,32.330322,23973.920000
-0.184195,-0.161991,0.074737,-0.512589,0.777132,-0.385057,32.330322,23973.925000
-0.131257,-0.256135,0.304019,-0.520293,0.762909,-0.404895,32.330322,23973.930000
0.656040,0.176578,0.090472,-0.519679,0.763932,-0.401624,32.336426,23973.935000
0.257689,0.213821,-0.038367,-0.514347,0.751042,-0.406028,32.336426,23973.940000
-0.035990,0.265702,-0.451374,-0.508141,0.767228,-0.387362,32.336426,23973.945000
-0.297047,-0.103257,-0.176342,-0.507234,0.770654,-0.392219,32.336426,23973.950000
-0.261388,-0.382437,0.225153,-0.513035,0.774754,-0.388121,32.324219,23973.955000
-0.097302,-0.193745,0.190727,-0.513140,0.777416,-0.386004,32.336426,23973.985000
