roll,pitch,yaw,GyroX,GyroY,GyroZ,x_acc,y_acc,z_acc,latitude,longitude,altitude,north_vel,east_vel,ground_vel,ins_status,modestatus,system_ms
-0.534976,-1.094687,1.262083,0.128174,0.311279,-0.018311,7.405755,-5.004083,3.874938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755515
-0.534976,-1.094687,1.262083,0.000000,-0.265503,0.274658,7.481032,-4.925222,3.753062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755525
-0.534976,-1.094687,1.262083,-0.210571,-0.164795,-0.247192,7.549139,-5.014836,3.799662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755535
-0.534976,-1.094687,1.262083,0.247192,0.531006,-0.082397,7.398586,-5.022005,3.874938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755545
-0.534976,-1.094687,1.262083,0.000000,-0.421143,0.119019,7.473863,-4.928806,3.756647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755555
-0.534976,-1.094687,1.262083,-0.311279,-0.183105,-0.155640,7.570646,-5.000498,3.781739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755565
-0.534976,-1.094687,1.262083,0.311279,0.485229,-0.018311,7.416509,-5.025590,3.889276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755575
-0.534976,-1.094687,1.262083,0.073242,-0.155640,0.192261,7.473863,-4.928806,3.760231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755585
-0.534976,-1.094687,1.262083,-0.274658,-0.256348,-0.201416,7.534801,-4.993329,3.835507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755595
-0.534976,-1.094687,1.262083,0.128174,0.228882,-0.100708,7.395002,-5.025590,3.885692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755605
-0.534976,-1.094687,1.262083,0.119019,-0.119019,0.274658,7.502539,-4.925222,3.706462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755615
-0.534976,-1.094687,1.262083,-0.320435,-0.173950,-0.183105,7.584985,-4.986160,3.745893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755625
-0.534976,-1.094687,1.262083,0.283813,0.494385,-0.009155,7.423678,-5.007667,3.874938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755635
-0.534976,-1.094495,1.262083,0.366211,-0.082397,0.292969,7.477447,-4.925222,3.735139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755645
-0.534784,-1.094687,1.262083,-0.311279,-0.173950,-0.320435,7.606492,-4.982575,3.778154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755655
-0.534784,-1.094687,1.262083,0.164795,0.357056,-0.045776,7.405755,-5.004083,3.885692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755665
-0.534784,-1.094495,1.262083,0.045776,-0.155640,0.292969,7.481032,-4.928806,3.760231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1,315988755675
